german,english
aber,but
allein,alone
alt,old
andere,other
anziehen,to put a clothe on
arbeiten,to work
attraktiv,attractive
auf Wiedersehen,goodbye
ausmachen,to turn off
beginnen,to begin
bis Bald,bye for now
bis Später,see you later
bitte,please
bitte sehr,you're welcome
blau,blue
danke,thank you
das Bier,the beer
das Brot,the bread
das Café,the café
das Eis,the ice
das Essen,the meal
das Geld,the money
das Gemüse,the vegetables
das Insekt,the insect
das Kind,the kid
das Kleid,the dress
das Lotto,the lottery
das Mädchen,the girl
das Öl,the oil
das Organ,the organ
das Pferd,the horse
das Salz,the salt
das Schwein,the pig
das Tier,the animal
das Wasser,the water
das Wissen,the knowledge
das Wort,the word
denken,to think
der Apfel,the apple
der Arkitekt,the architect
der Arzt,the doctor
der Aufgabe,the task
der Bruder,the brother
der Computer,the computer
der Ei,the egg
der Enkel,the grand-son
der Freund,the boyfriend
der Grossvater,the grand-father
der Herbst,the autumn
der Hund,the dog
der Journalist,the journalist
der Junge,the boy
der Käse,the cheese
der Kellner,the waiter
der Körper,the body
der Kühlschrank,the fridge
der Lehrer,the teacher
der Mann,the man
der Mantel,the coat
der Mechatroniker,the mechanic
der Mensch,the human
der Opa,the grandpa
der Orangensaft,the orange juice
der Partner,the partner
der Praktikant,the intern
der Prinz,the prince
der Pullover,the pull-over
der Reis,the rice
der Schauspieler,the actor
der Sekretär,the secretary
der Sohn,the son
der Sommer,the summer
der Statistiker,the statistician
der Stern,the star
der Student,the student
der Stuhl,the chair
der Tee,the tea
der Vater,the father
der Vogel,the bird
der Wein,the wine
der Winter,the winter
der Wurst,the sausage
Deutsch,German
Deutschland,Germany
die Angst,the fear
die Antwort,the answer
die Aussage,the statement
die Banane,the banana
die Bluse,the blouse
die Ehefrau,the wife
die Enkelin,the grand-daughter
die Ente,the duck
die Frage,the question
die Frau,the woman
die Gewinnzahl,the winning number
die Grossmutter,the grand-mother
die Hose,the pants
die Jacke,the jacket
die Kartoffel,the potato
die Katze,the cat
die Kirche,the church
die Kosmetik,the make-up
die Lampe,the lamp
die Milch,the milk
die Moral,the morality
die Mutter,the mother
die Oma,the grandma
die Schokolade,the chocolate
die Schwester,the sister
die Strumpfhose,the hoose
die Suppe,the soup
die Tomate,the tomato
die Tür,the door
die Zahl,the number
die Zeit,the time
die Zeitung,the newspaper
Dienstag,Tuesday
Donnerstag,Thursday
durst,thirsty
einmal,once
Englisch,English
entschuldigung,excuse-me
erste,first
es tut mir leid,I'm sorry
essen,to eat
falsch,wrong
fantastisch,fantastic
fertig,ready
frei,free
Freitag,Friday
fressen,to eat (animal)
geben,to give
gehen,to go
genau,I agree
geschieden,divorced
glauben,to believe
golden,golden
grau,grey
gross,big
gut,good
Gute Nacht,good night
Guten Abend,good evening
Guten Morgen,good morning
Guten Tag,good day
haben,to have
hässlich,ugly
heissen,to be named
heute,today
hoch,up
hören,to listen
hunger,hungry
interessant,interesting
jetzt,now
kennen,to know
klar,clear
klein,little
kommen,to come
kurz,short
lang,long
langsam,slow
laufen,to walk
lecker,delicious
ledig,single
leer,empty
leicht,light
leider,unfortunately
lernen,to learn
lesen,to read
mag,like
mehrere,several
Mittwoch,Wednesday
Montag,Monday
müde,tired
nein,no
normal,normal
orange,orange
pikant,spicy
prima,fine
rennen,to run
richtig,correct
rot,red
rund,round
sagen,to say
sauber,clean
schlafen,to sleep
schnell,fast
schwarz,black
schwimmen,to swim
schwul,gay lovers
sehen,to see
sein,to be
Sonntag,Sunday
spielen,to play
sprechen,to speak
stark,strong
stehen,to stand up
studieren,to study
süss,sweet
tausend,thousand
teuer,expensive
toll,formidable
tragen,to wear
trinken,to drink
tschüss,bye
überall,everywhere
und,and
vegetarier,vegetarian
verheiratet,married
vielleicht,maybe
warm,warm
warum,why
Was machst du beruflich?,What is your work?
waschen,to wash
weil,because
weiss,white
wie geht es dir?,how are you?
wilkommen,welcome
wirklich,really
wo,where
zusammen,together
zweite,second
die Banane,the banana
der Berg,the mountain
die Zeitung,the newspaper
kalt,cold
die Schokolade,the chocolate
der Kopf,the head
die Möglichkeit,the possibility
die Qualifikation,the qualification
die Himbeere,the raspberry
das Rezept,the recipe
das Handtuch,the towel
spass,fun
die Flasche,the bottle
der Fussball,the football
das Obst,the fruit
der Tiger,the tiger
die Hexe,the witch
umkämpfen,to beat
Dezember,December
Freitag,Friday
September,September
der Käfer,the cockroach
der Küchenchef,the cook
die Enkelin,the grand-daughter
der Historiker,the historian
die Ferien,the holidays
die Lampe,the lamp
der Laptop,the laptop
gesund,healthy
die Bibliothek,the library
das Metall,the metal
der Hals,the neck
der Kunststoff,the plastic
die Sauce,the sauce
die SMS,the SMS
Juni,June
der Zucker,the sugar
geben,to give
der Veteran,the veteran
rennen,to sprint
wo,where
bis Später,see you later
der Herbst,the autumn
rot,red
das Geld,the money
das Stück,the piece
das Pronomen,the pronoun
müde,tired
klein,small
sauer,sour
schon,already
Sonntag,Sunday
frisch,fresh
voll,full
der Nachmittag,the afternoon
das Brot,the bread
die Katze,the cat
die Couch,the couch
das Insekt,the insect
der Bär,the bear
die Maus,the mouse
das Schiff,the ship
die Tomate,the tomato
der Zug,the train
telefonieren,to telephone
gelb,yellow
der Teppich,the carpet
spät,late
das Schlafzimmer,the bedroom
die Stadt,the city
der Hund,the dog
die Blume,the flower
das Leben,the life
die Kuh,the cow
das Restaurant,the restaurant
die Tochter,the daughter
beginnen,to begin
tanzen,to dance
arbeiten,to work
August,August
bequem,convenient
die Oma,the grandma
pikant,spicy
stark,strong
das Ethik,the ethique
der Reis,the rice
das Beispiel,the example
das Mehl,the flour
der Ei,the egg
der Friseur,the hairdresser
der Fuss,the foot
das Praktikum,the internship
der Löwe,the lion
der Wald,the forest
die Möbel,the furniture
die Theorie,the theory
der Geist,the ghost
sortieren,to sort
falsch,wrong
dann,then
blind,blind
mehrere,several
der Arm,the arm
die Farbe,the color
der Elefant,the elephant
die Garage,the garage
der Sohn,the son
der Mensch,the human
das Holz,the wood
hinzufügen,to add
die Identität,the identity
sichtbar,visible
Februar,February
die Flagge,the flag
der Journalist,the journalist
der Schlüssel,the key
die Freundin,the girlfriend
die Küche,the kitchen
die Kumquat,the kumquat
der Fluss,the river
die Sprache,the language
der Leopard,the leopard
tausend,thousand
der Maler,the painter
die Kosmetik,the make-up
der Mann,the man
das Material,the material
stoppen,to stop
Himmel,Heaven
die Dinge,the thing
richtig,correct
golden,golden
gerade,just
andere,other
die Zahl,the number
das Büro,the office
das Omelette,the omelette
der Kalender,the calendar
die Chemie,the chemistry
die Hose,the pants
die Reise,the travel
vor,before
erste,first (adj.)
das Kino,the cinema
das Wohnzimmer,the living room
die Philosophie,the philosophy
das Produkt,the product
das Protokoll,the protocol
die Pflanze,the plant
der Seher,the seer
die Socke,the sock
das Recht,the right
die Rose,the rose
fühlen,to feel
laufen,to run
das Meer,the sea
verstehen,to understand
warm,warm
April,April
wichtig,important
traurig,sad
die Ente,the duck
der Fisch,the fish
die Seife,the soap
die Wohnung,the flat
die Gruppe,the group
die Spezialität,the specialty
die Spinne,the spider
der Praktikant,the intern
der Himmel,the sky
backen,to bake
treffen,to meet
zeigen,to show
welche,which
das TischTennis,the table tennis
der Vater,the father
das Telefon,the telephone
die Terrasse,the terrace
die Frau,the woman
allein,alone
die Tradition,the tradition
der Regenschirm,the umbrella
Deutsch,German
die Stimme,the voice
das Alphabet,the alphabet
vorgestern,the day before yesterday
wild,wild
die Ehefrau,the wife
einmal,once
das Camping,the camping
das Kreuz,the cross
das Radio,the radio
die rote Karte,the red card
die Jugend,the youth
das Zebra,the zebra
lesen,to read
vegetarier,vegetarian
guten Morgen,good morning
rosa,pink
wirklich,really
ledig,single
das Sonderangebot,the special offer
diskutieren,to discuss
spenden,to donate
warum,why
gross,big
lecker,delicious
teuer,expensive
schnell,fast
letzte,last
leicht,light
neu,new
perfekt,perfect
langsam,slow
bezahlen,to pay
anrufen,to phone
fotografieren,to photograph
knipsen,to push
reservieren,to reserve
der Konflikt,the conflict
das Hotel,the hotel
die Fotografie,the photography
das Sofa,the sofa
das Wort,the word
denken,to think
stimmen,to vote
sprechen,to speak
blau,blue
guten Abend,good evening
jemand,someone
die Fliege,the fly
der Grossvater,the grand-father
der Wurst,the sausage
schlafen,to sleep
ganz,whole
noch,again
tragen,to wear
der Fotoapparat,the camera
langweilig,boring
das Weihnachten,Christmas
sauber,clean
umsteigen,to change trains
bunt,colorful
schade,too bad
einfach,easy
prima,fine
gratis,free (money)
hunger,hungry
die Scheibe,the slice
laut,loud
die Avocado,the avocado
oft,often
altmodisch,old-fashioned
draussen,outside
möglich,possible
praktisch,practical
der Balkon,the balcony
fertig,ready
der Khaki,the khaki
schminken,to make up
seltsam,strange
überrascht,surprised
der Anrufer,the caller
die Artischocke,the artichoke
die Tasche,the bag
das Blut,the blood
der Junge,the boy
hoch,high
das Schloss,the castle
die Clementine,the clementine
der Euro,the euro
der Kollege,the colleague
das Comicbuch,the comic book
die Firma,the company
der Ursprung,the origin
die Ecke,the corner
die Cranberry,the cranberry
schwül,humide
der Ehemann,the husband
der Strom,the electricity
das Gefühl,the feeling
die Kunst,the art
der Fuchs,the fox
heissen,to be named
der Gorilla,the gorilla
die Uhr,the watch
der Enkel,the grand-son
der Hut,the hat
der Winter,the winter
das Kind,the kid
das Bein,the leg
der Wolf,the wolf
der Zuhörer,the listener
die Literatur,the literature
die Milch,the milk
die Reisetasche,the travel bag
die Motivation,the motivation
modern,modern
das Notizbuch,the notebook
der Orangensaft,the orange juice
kochen,to cook
der Penalty,the penalty
verheiratet,married
die Geldbörse,the purse
die Kartoffel,the potato
der Turm,the tower
fressen,to eat (animal)
der Salat,the salad
der Sekretär,the secretary
die Socken,the socks
der Spinat,the spinach
die Briefmarke,the stamp
der Fernseher,the television
die Toilette,the toilet
das Turnier,the tournament
der Käse,the cheese
der Ingenieur,the engineer
der Baum,the tree
der Ventilator,the ventilator
das Fenster,the window
die Tür,the door
das Mädchen,the girl
der Joghurt,the yoghurt
Englisch,English
glauben,to believe
sich erkälten,to catch a cold
korrigieren,to correct
das Café,the café
deklinieren,to decline
morgen,tomorrow
entschuldigung,excuse-me
hören,to listen
leben,to live
verlieren,to lose
das Boot,the boat
die Kirche,the church
sehen,to see
rauchen,to smoke
überraschen,to surprise
nehmen,to take
vergessen,to forget
genau,I agree
übermorgen,the day after tomorrow
der Opa,the grandpa
das Lotto,the lottery
zu Hause,at home
tief,deep
betrunken,drunk
emotional,emotional
überall,everywhere
Französisch,French
ab A,from A
von oben,from above
lustig,fun
es tut mir leid,I'm sorry
März,March
Oktober,October
beruflich,professional
das Ziel,the aim
die Antwort,the answer
die Armee,the army
das Getränk,the drink
der Keller,the basement
die Glocke,the bell
die Zensur,the censorship
das Jahrhundert,the century
die Kombination,the combination
kämmen,to comb
der Würfel,the dice
die Folge,the episode
der Garten,the garden
der Goalkeeper,the goalkeeper
der Halt,the halt
die Gesundheit,the health
der Urlaub,the holiday
die Herberge,the hostel
tschüß,bye
das Känguru,the kangaroo
das Glück,the luck
die Mango,the mango
der Affe,the monkey
die Meinung,the opinion
der Gegner,the opponent
der Pass,the pass
die Nudel,the pasta
der Pinguin,the penguin
interessant,interesting
die Physalis,the physalis
der Teller,the plate
der Rotkohl,the red cabbage
der Rest,the rest
der Ring,the ring
das Zimmer,the room
der Lachs,the salmon
das Hemd,the shirt
der Schrimp,the shrimp
der Storck,the stork
der Tisch,the table
der Tourist,the tourist
der Mond,the moon
die Trophäe,the trophy
der Kellner,the waiter
der Werwolf,the werewolf
der Weisskohl,the white cabbage
die Zucchini,the zucchini
kämpfen,to fight
passieren,to happen
heiraten,to marry
renovieren,to renovate
brillieren,to shine
arbeitlos,unemployed
violett,violet
windstill,windless
windig,windy
der Streik,the strike
wegen,because of
zwischen,between
kreativ,creative
effektiv,effective
effizient,efficient
Guten Rutsch,Happy New Year (before)
schwer,hard
unbequem,inconvenient
verloren,lost
luxuriös,luxurious
monatlich,monthly
in der Nähe,near
ausserhalb,outside
respektvoll,respectful
die Passionsfrucht,the passion fruit
der Unfall,the accident
die Luft,the air
die Atmosphäre,the atmosphere
der Autor,the author
der Biber,the beaver
der Alk,the booze
das Zentrum,the centre
die Schokoladenmousse,the chocolate mousse
der Gast,the client
die Konstellation,the constellation
die Kultur,the culture
die Osterglocke,the daffodil
der Tod,the death
der Unterschied,the difference
der Nachteil,the disadvantage
die Feder,the feather
das Tor,the goal
die Note,the grade
die Garantie,the guarantee
die Haselnuss,the hazelnut
die Hitze,the heat
die Geschichte,the history
das Krakenhaus,the hospital
die Hausnummer,the house number
die Hyäne,the hyena
der Einwohner,the inhabitant
die Einladung,the invitation
die Kiwi,the kiwi
das Lama,the llama
die Melone,the melon
der Mund,the mouth
das Netzwerk,the network
die Nase,the nose
die Nuss,the nut
die Altstadt,the old town
das Papier,the paper
die Partnersuche,the partner search
das Schwein,the pig
der Planet,the planet
die Pflaume,the plum
der Polizeisprecher,the police spokesman
die Position,the position
der Ersatz,the replacement
die Wissenschaftler,the scientist
der Löffel,the spoon
die Süsskartoffel,the sweet potato
die Taktik,the tactic
der Tempel,the temple
die Fahrkarte,the ticket
die Windmühle,the windmill
durst,thirsty
ändern,to change
konzentrieren,to concentrate
löschen,to delete
verdoppeln,to double
träumen,to dream
abtrocknen,to dry off
einladen,to invite
lösen,to loose
entfernen,to remove
mieten,to rent
unterstützen,to support
übersetzen,to translate
anmachen,to turn on
tolerant,tolerant
tonal,tonal
der Cousin,the cousin
abwesend,absent
aktiv,active
besorgt,afraid
entlang,along
obwohl,although
genehmift,approved
aufmerksam,attentive
zurück,back
schlimm,bad
gelangweilt,bored
beide,both
gebrochen,broken
chaotisch,chaotic
kompliziert,complicated
ständig,constant
gestorben,dead
unterschiedlich,different
uneinig,divided
dramatisch,dramatic
trüb,dull
während,during
usw.,etc
einziger,exclusive
rechts aussen,extreme right
neblig,foggy
frustriert,frustrated
komisch,funny
echt,genuine
Ungar,Hungary
eindrucksvoll,impressive
in Eile,in a hurry
auf dem Lande,in the countryside
verletzt,injured
unsichtbar,invisible
lieb,kind
bekannt,known
gering,low
gemischt,mixed
ordentlich,neat
nervös,nervous
geduldig,patient
arm,poor
vorherig,previous
pünktlich,punctual
kürzlich,recent
relativ,relative
entspannt,relaxed
reich,rich
lächerlich,ridiculous
egoistisch,selfish
dumm,silly
smart,smart
spontan,spontaneous
sonnig,sunny
die Abwesenheit,the absence
die Erwachsene,the adult
der Vorteil,the advantage
der Erlebnispark,the adventure park
das Attentat,the assassination attempt
der Angriff,the attack
die Barge,the barge
das Bad,the bathroom
die Biene,the bee
der Beginn,the beginning
das Verhalten,the behaviour
der Gürtel,the belt
die Langeweile,the boredom
der Broccoli,the broccoli
der Besen,the broom
das Unternehmen,the business
der Kapitän,the captain
der Promi,the celebrity
die Meisterschaft,the championship
der Charakter,the character
die Kirsche,the cherry
die Kirschtomate,the cherry tomato
der Schimpanse,the chimpanzee
der Zimt,the cinnamon
die Innerstadt,the city centre
die Kleidung,the clothes
die Wolke,the cloud
die Konzentration,the concentration
der Zusammenhang,the connection
der Cousin,the cousin
die Kriminalität,the criminality
die Dunkelheit,the darkness
das Gerät,the device
der Durchfall,the diarrhoea
das Wörterbuch,the dictionary
die Disziplin,the discipline
das Kleid,the dress
der Fahrer,the driver
der Tropfen,the drop
die Erde,the earth
das Erdbeben,the earthquake
der Orient,the east
die Wirkung,the effect
die Umwelt,the environment
die Umweltpolitik,the environmental policy
die Fanartikel,the fan merchandise
der Gefallen,the favour
der Zaun,the fence
das Fieber,the fever
die Angel,the fishing rod
die Badelatschen,the flip-flops
der Strömung,the flow
die Grippe,the flu
der Schaum,the foam
die Fussspur,the footprint
die Stiftung,the foundation
der Rummel,the fuss
die Granate,the grenade
die Gewohnheit,the habit
die Haare,the hair
der Hafen,the harbour
die Hupe,the horn
die Einweihnungsparty,the housewarming party
der Jäger,the hunter
die Branche,the industry
der Einfluss,the influence
die Arbeitsstelle,the job
die Laterne,the lantern
die Legende,the legend
die Mathematik,the mathematics
die Melodie,the melody
die Mirabelle,the mirabelle
das Tatmotiv,the motive
der Glühwein,the mulled wine
das Muss,the must
das Nickerchen,the nap
das Geräusch,the noise
der Nord,the north
der Kindergarten,the nursery
das Abseits,the offside
der Ofen,the oven
das Eigentor,the own goal
die Seite,the page
die Pfanne,the pan
die Unterhose,the pants
der Beifahrer,the passenger
die Frist,the period
die Physik,the physics
der Druck,the pressure
das Gefängnis,the prison
die Gefangene,the prisoner
die Herstellung,the production
die Tollwut,the rabies
der Funkturm,the radio tower
die Rangliste,the ranking
die Empfehlung,the recommendation
die Auswechslung,the replacement
die Meldung,the report
die Rückseite,the reverse
der Ritt,the ride
die Rolle,the role
das Dach,the roof
das Salz,the salt
die Wissenschaft,the science
die Sicherheit,the security
das Ufer,the shore
das Faultier,the sloth
das Lied,the song
der Süd,the south
der Raum,the space
der Nebensatz,the subordinate clause
der Auswechselspieler,the substitute
der Erfolg,the success
der Unterstützer,the supporter
die Überraschung,the surprise
das Bonbon,the sweet
der Zuckermais,the sweetcorn
die Schwimmbrille,the swimming goggles
die Zielgruppe,the target group
die Temperatur,the temperature
das Zelt,the tent
der Gedanke,the thought
der Gleichstand,the tie
das Spielzeug,the toy
das Universum,the universe
der Ärger,the upset
der Einsatz,the use
der Benutzer,the user
der Lohn,the wage
der Spaziergang,the walk
die Wand,the wall (inside)
der Müll,the waste
der Westen,the west
die Werkstatt,the workshop
dick,thick
diejenigen,those
verwirklichen,to achieve
dazugeben,to add
anzeigen,to advertise
beantworten,to answer
erwachsen,to arise
angreifen,to attack
wecken,to awake
sich lohnen,to be worth it
gehören,to belong to
setzen,to bet
kleben,to bond
buchen,to book
absagen,to cancel
abkassieren,to cash up
einbrechen,to collapse
klagen,to complain
weinen,to cry
debattieren,to debate
tauchen,to dive
tun,to do
beschäftigen,to employ
betreten,to enter
ausbrechen,to erupt
begleiten,to escort
gründen,to establish
bestehen,to exist
erleben,to experience
sinken,to fall
holen,to get
sich kennenlernen,to get to know each other
sich an gewöhnen,to get used to
runtergehen,to go down
hinaufgehen,to go up
grillen,to grill
anbauen,to grow
halten,to hold
sich beeilen,to hurry
schmerzen,to hurt
überfallen,to invade
anlegen,to invest
bügeln,to iron
lachen,to laugh
führen,to lead
gefallen,to like
wohnen,to live
besitzen,to own
teilnehmen,to participate
herstellen,to produce
ziehen,to pull
anziehen,to put on
ruhen,to rest
belohnen,to reward
überfahren,to run over
beten,to say one's prayers
teilen,to share
rasieren,to shave
sich rasieren,to shave
auf Rücksicht nehmen,to show consideration for
einsinken,to sink in
ausgeben,to spend
ausziehen,to take off
knüpfen,to tie
versuchen,to try
tippen,to type
aufwachen,to wake up
pfeifen,to whistle
aushalten,to withstand
aus Versehen,unintentional
unlesbar,unreadable
verschieden,various
gewalttätig,violent
lautstark,vocal
klug,wise
innerhalb,within
wert,worth
ein paar,some
wie wäre es,what about
das Ziel,the destination
verhandeln,to negotiate
der Vorschlag,the proposal
das Benzin,the petrol
die Tankstelle,the service station
das Fernglas,the binoculars
durchführen,to perform
das Erdbeben,the earthquake
die Gewerkschaft,the union
schaffen,to make
die Überschwemmung,the flood
verletzt,injured
abenteuerlustig,adventuresome
abenteuerlich,adventurous
