deutsch,englisch
der Abfall,the rubbish
der Abflug,the departure
die Absage,the cancellation
aktiv,active
der Alkohol,the alcohol
angenehm,pleasant
annulliert,cancelled
die Anzeigetafel,the bulletin board
der Aufruf,the call
der Ausgang,the exit
die Ausstattung,the equipment
der Behälter,the container
betreten,to enter
der,the resident
die Bordkarte,the boarding pass
der,the camper
der Campingplatz,the campsite
der Check,the check
der Container,the container
die Dienstreise,the business trip
das Doppelbett,the double bed
das Doppelzimmer,the double room
einchecken,to check
die Einsteigezeit,the boarding time
das Einzelzimmer,the single room
erleben,to experience
der Flug,the flight
der,the flight attendant
der Fluggast,the passenger
die Fluggesellschaft,the airline
führen,to lead
füttern,to feed
das Gate,the gate
das Gepäck,the luggage
die Gepäckausgabe,the baggage reclaim
das Gepäckband,the luggage belt
gestattet sein,to be permitted
die Halbpension,the half
das Handgepäck,the hand luggage
historisch,historical
das Hostel,the hostel
hygienisch,hygienic
das Inlineskaten,the inline skating
die Jugendherberge,the youth hostel
der Katalog,the catalogue
klettern,to climb
komfortabel,comfortable
die Lage,the site
das Lagerfeuer,the campfire
landen,to land
der Lärm,the noise
die Lautsprecherdurchsage,the tannoy announcement
lebhaft,lively
die Leine,the rope
der Leuchtturm,the lighthouse
der Meerblick,the seaview
mitten,middle
der Nebel,the fog
neblig,foggy
das Paradies,the paradise
der,the passenger
die Passkontrolle,the passport control
der Pilotenstreik,the pilot strike
der Pool,the pool
rechtzeitig,on time
das Reisebüro,the travel agency
der Reiseplan,the itinerary
die Reiseplanung,the travel planning
reiten,to ride
die Ruhezeit,the rest period
sauber,clean
die Sauberkeit,the cleanliness
der Schalter,the desk
die Schlange,the snake
der Sonnenschirm,the parasol
die Sonnenterrasse,the sun terrace
der Sonnenuntergang,the sunset
der Stern,the star
stören,to disturb
das Streichholz,the match
streiken,to strike
die Taschenlampe,the torch
das Taschenmesser,the pocket knife
traumhaft,wonderful
übernachten,to stay overnight
die Übernachtung,the overnight stay
die Übernachtung mit Frühstück,the overnight stay with breakfast
die Umgebung,the surroundings
umgehend,immediately
verärgert,annoyed
verreisen,to travel
verschieben,to postpone
der Wanderer,the hiker
die Wandertour,the walking tour
der Waschraum,the laundry room
der Wohnwagen,the caravan
das Zelt,the tent
der Zoll,the customs
der Zuschlag,the fees
absprechen,to arrange
der Abstellplatz,the parking space
akzeptieren,to accept
anstreichen,to paint
der Ärger,the trouble
ärgerlich,annoying
die Aufregung,the commotion
die Ausnahme,the exception
das Balkongeländer,the balcony railing
befestigen,to secure
behalten,to keep
beleidigen,to offend
die Beleidigung,the insult
berechtigt,justified
beschimpfen,to insult
die Beschimpfung,the swear
beschweren,to complain
der Blumentopf,the flower pot
bohren,to drill
deswegen,that is why
dumm,stupid
eilig,urgent
einhalten,to comply
einlegen,to insert
einstellen,to set up
enden,to end
die Entscheidung,the decision
entspannend,relaxing
entsprechen,to correspond to
erhöhen,to increase
erleichtern,to relieve
erwähnen,to mention
eskalieren,to escalate
exotisch,exotic
fair,fair
festkleben,to stick
die Freude,the joy
die Frist,the deadline
fristgerecht,punctual
fristlos,without notice
der Gemeinschaftsraum,the common room
gesetzlich,legal
hämmern,to hammer
heizen,to heat
die Instandhaltung,the maintenance
klug,clever
der Konflikt,the conflict
die Kündigung,the termination
lüften,to air
massiv,solid
meckern,to whinge
das Meerschweinchen,the guinea pig
die Mieterhöhung,the rent increase
der Mietspiegel,the rent index
der Mietvertrag,the rental contract
die Modernisierung,the modernisation
nachsehen,to check
neugierig,curious
obwohl,although
offenbar,obvious
protestieren,to protest
der,the judge
die Rücksicht,the consideration
sammeln,to collect
sauer,sour
der Schaden,the damages
schmutzig,dirty
selbstverständlich,of course
sinnlos,meaningless
sinnvoll,meaningful
sortieren,to sort
stinken,to stink
streiten,to argue
total,totally
treu,faithful
überlegen,to think about
üblich,normal
unglaublich,unbelievable
das Unrecht,the unjust
das Urteil,the judgement
vergleichbar,comparable
verpflichten,to compel
das Verständnis,the understanding
der Verstoß,the violation
verstoßen,to violate
völlig,completely
vorher,before
wegräumen,to clear away
der Widerspruch,the contradiction
wütend,angry
der Zeitraum,the time frame
ziemlich,rather
die Zimmerlautstärke,the room volume
zugeben,to admit
zurücklassen,to leave behind
das Zusammenleben,the life together
zustimmen,to agree
der Zutritt,the access
das Abgas,the exhaust gas
das Abwasser,the sewage
das Altöl,the waste oil
das Altpapier,the waste paper
das Aluminium,the aluminium
andauernd,lasting
ankündigen,to announce
anstatt,instead
die Begleitperson,the accompanying person
belasten,to pollute
die Belastung,the pollution
beobachten,to observe
der Beutel,the bag
biologisch,biological
die Chemikalie,the chemicals
der Deckel,the lid
doof,stupid
der Eierkarton,the egg box
die Eierschale,the egg shell
einfallen,to occur
das Elektroauto,the electric car
das Energiesparhaus,the energy efficient house
die Energiesparlampe,the energy efficient bulb
das Erdbeben,the earthquake
die Erde,the earth
die Erderwärmung,the global warming
die Erlaubnis,the permission
der,the woodsman
der Gegenstand,the object
der Gegenvorschlag,the counterproposal
giftig,toxic
der Haushalt,the household
das Hochwasser,the high
der,the listener
der Kaffeefilter,the coffee filter
das Klima,the climate
der Klimawandel,the climate change
die Konservendose,the preserving jars
der Kunststoff,the synthetic material
die Luft,the air
die Matratze,the mattress
das Metall,the metal
der Milchkarton,the milk carton
die Mülltonne,the rubbish bin
die Mülltrennung,the waste separation
die Naturkatastrophe,the natural disaster
das Naturprodukt,the natural product
die Obstschale,the fruit skin
der Papiermüll,the paper waste
die Pappe,the cardboard
das Picknick,the picnic
der Planet,the planet
das Plastik,the plastic
recyceln,to recycle
der Sack,the bag
die Sammelstelle,the collection point
schädigen,to damage
schädlich,harmful
der Schadstoff,the hazardous substance
schützen,to protect
die Solarenergie,the solar energy
der Sondermüll,the hazardous waste
der Sonnenschein,the sunshine
die Sorge,the worry
sparsam,economical
der Sperrmüll,the bulky waste
stattfinden,to take place
der Tierschutz,the animal protection
das Trinkwasser,the drinking water
trüb,gloomy
der Tsunami,the tsunami
der Turm,the tower
umdrehen,to turn around
umgehen,to go round
umweltfreundlich,environmentally friendly
der Umweltschutz,the environmental protection
die Umweltverschmutzung,the environmental pollution
das Unwetter,the thunderstorm
verändern,to change
verlaufen,to continue
verschmutzen,to contaminate
verschwenden,to disappear
die Verschwendung,the waste
versprechen,to promise
verwerten,to exploit
voraussichtlich,provisionally
vorhersagen,to predict
wahrscheinlich,probably
wegschmeißen,to chuck out
wegwerfen,to throw away
der Wertstoff,the recyclable material
der Wind,the wind
die Windel,the nappy
der Wirbelsturm,the hurricane
die Wolke,the cloud
zerstören,to destroy
die Zerstörung,the destruction
die Zigarettenkippe,the cigarette butts
zurückfahren,to go back
anfassen,to touch
die Anprobe,the fitting room
anprobieren,to try on
die Art,the type
die Artikelnummer,the item number
die Atmung,the breathing
atmungsaktiv,breathable
aufmerksam,attentive
der Auftrag,the order
die Auftragsnummer,the order number
ausliefern,to deliver
die Auswahl,the selection
der Bankeinzug,the direct debit
bereits,already
beschädigt,damaged
die Bestellhotline,the order hotline
der Betrag,the sum
der Bezahlvorgang,the payment process
das Callcenter,the call centre
der Datenschutz,the data protection
dicht,thick
durchlässig,permeable
ebenso,as well
eher,rather
das Eigentum,the property
die Ergänzung,the addition
erhältlich,available
eventuell,possible
falls,in case
der Gutschein,the voucher
herstellen,to manufacture
die Herstellung,the manufacture
das Impressum,the imprint
innerhalb,within
irgendwie,somehow
der Kauf,the purchase
die Kaufbestätigung,the purchase confirmation
der,the customer
der Kaufvertrag,the sales contract
die Kosmetik,the cosmetics
die Kundenbefragung,the customer survey
kundenfreundlich,customer friendly
das Lager,the warehouse
lieferbar,in stock
die Lieferbedingung,the delivery conditions
die Lieferung,the delivery
luftdurchlässig,breathable
die Mehrkosten,the extra costs
die Nachnahme,the cash on delivery
der Nachteil,the disadvantage
der Onlineeinkauf,the online shopping
der Onlineshop,the online shop
das Onlineshopping,the online shopping
das Paket,the parcel
der Paketbote,the parcel carrier
der Paketdienst,the parcel service
das Porto,the postage
portofrei,postage paid
die Portokosten,the postage
produzieren,to produce
die Qualität,the quality
die Reklamation,the complaint
die Retoure,the return order
der Retourenschein,the return order slip
die Rücksendung,the return delivery
das Shopping,the shopping
unverbindlich,non
der,the consumer
verpacken,to package
der Versand,the shipping
die Versandkosten,the shipping fee
versandkostenfrei,free of shipping costs
die Versandkostenpauschale,the flat shipping rate
versenden,to send
die Ware,the goods
der Warenkorb,the basket
wasserdicht,waterproof
der Werktag,the working day
wetterfest,waterproof
widerrufen,disclaimer
das Widerrufsrecht,the right of revocation
die Zahlung,the payment
zurückschicken,to send back
zurücksenden,to send back
zurücktreten,to withdraw
zustellen,to deliver
das Alter,the age
anschauen,to look at
der Anstoß,the stimulus
anstrengend,tiring
das Autorennen,the motor racing
befragen,to consult
begeistern,to inspire
beliebt,popular
der Biergarten,the beer garden
das Boxen,the boxing
die Chips,the crisps
demnächst,soon
die Detektivgeschichte,the detective story
das Diagramm,the diagram
die Diskussion,the discussion
die Dokumentation,the documentary
doppelt,doubled
dramatisch,dramatic
der Durchschnitt,the average
die DVD,the DVD
ehrlich,honest
einschlafen,to fall asleep
einsetzen,to use
das Eishockey,the ice hockey
der Eiskunstlauf,the ice skating
entstehen,to result
das Ereignis,the event
erfolgreich,successful
das Ergebnis,the result
der,the expert
der Fan,the fan
der Fußballclub,the football club
die Gewohnheit,the habit
das Golf,the golf
der Handball,the hand ball
das Herz,the heart
der Horrorfilm,the horror film
der,the candidate
der,the commissioner
der,the Kommentatoren
die Komödie,the comedy
der Krimi,the crime thriller
kuscheln,to cuddle
die Langeweile,the boredom
die Leichtathletik,the athletics
die Lieblingsbeschäftigung,the favourite pastime
das Magazin,the magazine
die Mannschaft,the team
die Mehrheit,the majority
die Minderheit,the minority
mitreden,to have a say
das Mittelfeld,the mid
die Moderation,the presentation
der Mord,the murder
motiviert,motivated
naschen,to snack
die Niederlage,the defeat
objektiv,objective
die Quizshow,the quiz show
das Radrennen,the cycling race
die Rangliste,the league table
das Rätsel,the puzzle
die Reportage,the report
der,the reporter
retten,to rescue
romantisch,romantic
die Runde,the round
schalten,to switch
der Schiedsrichter,the referee
schießen,to shoot
die Seifenoper,the soap opera
die Sendung,the programme
die Serie,the series
siegen,to win
der,the winner
der Skisport,the ski sport
die Soap,the soap opera
spannend,exciting
der,the player
der Spielfilm,the feature film
das Stadion,the stadium
die Statistik,the statistics
der Tagesablauf,the daily routine
die Talkshow,the talk show
das Tor,the goal
der,the goalee
der,the dead people
die Übertragung,the transmission
unentschieden,undecided
ungesund,unhealthy
die Unterhaltung,the entertainment
der,the loser
die Weltmeisterschaft,the World cup
weshalb,which is why
zappen,to channel surf
der Zeichentrickfilm,the animated film
die Zeitverschwendung,the waste of time
der,the viewers
der,the allies
die Amtssprache,the official language
anfangs,initially
anheben,to raise
die Arbeitskraft,the workforce
die Arbeitslosigkeit,the unemployment
der,the astronaut
das Asyl,the asylum
aufschreiben,to write down
aufteilen,to divide
der Auswanderer,the emigrant
die Auswanderung,the emigration
die Besatzungszone,the occupied zone
besiegen,to conquer
der,the federal chancellor
die Bundesrepublik,the federal republic
der,the citizen
der Bürgerkrieg,the civil war
die Demokratie,the democracy
demokratisch,democratic
die Demonstration,the demonstration
die Deutsche Demokratische Republik,the German democratic republic
ehemalig,former
einführen,to introduce
einsperren,to confine
die Einwanderung,the immigration
emotional,emotional
entwickeln,to develop
erinnern,to remember
die Erinnerung,the memory
ernähren,to feed
die Europäische Union,the European union
die Euroeinführung,the introduction of the Euro
der Flüchtling,the refugee
fördern,to promote
die Fremdsprache,the foreign language
friedlich,peaceful
das Gefühl,the feeling
das Gehalt,the salary
das Gewürz,the spice
die Grenze,the border
gründen,to establish
hart,hard
die Hauptstadt,the capital city
die Heimat,the home country
die Industrie,the industry
irgendwann,at some point
jahrelang,for years
das Jahrhundert,the century
das Jahrzehnt,the decade
der,the jew
kaum,hardly
die Kindheit,the childhood
der Krieg,the war
das Kriegsende,the end of war
die Krippe,the crib
der,the critic
die Mauer,the wall
der Mauerbau,the building of the wall
der Mauerfall,the fall of the Berlin wall
die Medizin,the medicine
merken,to realise
die Migration,the migration
miteinander,together
miterleben,to experience with
musikalisch,musical
die Muttersprache,the native language
die Nachkriegszeit,the post
der Nationalsozialismus,the national socialism
die NATO,the NATO
die Notunterkunft,the emergency accommodation
die Öffnung,the opening
die Phase,the phase
politisch,political
der Protest,the protest
die Regierung,the government
die Republik,the republic
der,the German
der Staat,the state
die Staatsgründung,the formation of a state
das Stipendium,the scholarship
tatsächlich,actual
die Teilung,the division
verdrängen,to suppress
vereinigen,to unite
verfolgen,to follow
verhaften,to arrest
verlängern,to extend
verlassen,to leave
vermischen,to mix
das Visum,the visa
das Weltall,the space
wiedervereinigen,to re
die Wiedervereinigung,the reunification
zerschlagen,to destroy
zurückkehren,to return
